datetime,open,high,low,close,volume
2025-07-14,119095.9,123226.0,118906.5,119848.7,9045.78504163
2025-07-15,119848.7,119950.0,115726.7,117752.7,11387.63759729
2025-07-16,117752.6,120069.3,117018.2,118629.7,5314.61868941
2025-07-17,118629.7,120941.8,117444.0,119178.0,5583.41822284
2025-07-18,119178.0,120822.7,116811.0,117934.0,6793.59430457
2025-07-19,117934.1,118492.0,117267.9,117838.2,2917.05388318
2025-07-20,117838.3,118865.9,116462.0,117260.1,3469.44297522
2025-07-21,117260.1,119669.0,116520.0,117378.1,5012.60558127
2025-07-22,117378.1,120249.3,116116.0,119954.9,8684.56371028
2025-07-23,119955.0,120080.0,117313.6,118757.9,5470.70412554
2025-07-24,118757.9,119500.0,117072.0,118341.8,5881.01567022
2025-07-25,118341.9,118462.5,114712.4,117615.8,14823.02724256
2025-07-26,117615.9,118290.0,117129.7,117917.3,2430.31755294
2025-07-27,117917.9,119786.0,117818.0,119439.3,3485.56258046
2025-07-28,119440.0,119828.0,117400.4,118073.9,3487.35110145
2025-07-29,118073.9,119300.0,116954.4,117944.1,3928.207275
2025-07-30,117944.0,118800.0,115716.3,117836.4,4649.59239764
2025-07-31,117836.4,118936.8,115500.0,115754.8,5196.99532531
2025-08-01,115754.8,116063.2,112724.3,113294.3,9645.42555018
2025-08-02,113294.4,114061.3,112005.4,112559.9,3426.81807393
2025-08-03,112560.0,114780.4,111903.1,114202.0,2552.42393238
2025-08-04,114202.1,115738.9,114109.1,115053.6,3315.32238925
2025-08-05,115053.7,115128.4,112653.0,114126.8,4101.6529488
2025-08-06,114126.8,115711.0,113357.6,114999.8,2974.29718039
2025-08-07,114999.6,117636.4,114260.7,117478.0,4452.50279353
2025-08-08,117478.1,117663.8,115888.0,116665.9,4460.09866834
2025-08-09,116666.0,117923.2,116348.8,116470.0,3761.2912021
2025-08-10,116470.1,119317.7,116457.9,119287.8,5027.46131999
2025-08-11,119287.7,122335.8,118036.2,118686.1,7775.95484853
2025-08-12,118686.1,120320.0,118203.7,120132.0,5405.85257172
2025-08-13,120132.1,123700.0,118929.1,123308.0,7114.74615589
2025-08-14,123308.1,124500.0,117156.1,118298.5,10097.11692672
